"","Outcome","intercept","gdpsh465","bmp1l","freeop","freetar","h65","hm65","hf65","p65","pm65","pf65","s65","sm65","sf65","fert65","mort65","lifee065","gpop1","fert1","mort1","invsh41","geetot1","geerec1","gde1","govwb1","govsh41","gvxdxe41","high65","highm65","highf65","highc65","highcm65","highcf65","human65","humanm65","humanf65","hyr65","hyrm65","hyrf65","no65","nom65","nof65","pinstab1","pop65","worker65","pop1565","pop6565","sec65","secm65","secf65","secc65","seccm65","seccf65","syr65","syrm65","syrf65","teapri65","teasec65","ex1","im1","xr65","tot1"
"1",-0.024335751,1,6.591673732,0.2837,0.153491,0.043888,0.007,0.013,0.001,0.29,0.37,0.21,0.04,0.06,0.02,6.67,0.16,3.693866996,0.0203,6.68,0.165,0.11898,0.0195,0.0176,0.019,0.0931,0.1158,0.07877,0.12,0.23,0.01,0.09,0.18,0.01,0.301,0.568,0.043,0.004,0.008,0,89.46,79.98,98.61,0,12359,0.3469,0.4441,0.0275912,0.45,0.75,0.17,0.13,0.21,0.04,0.033,0.057,0.01,47.6,17.3,0.0729,0.0667,0.348,-0.014727
"2",0.100472567,1,6.829793738,0.6141,0.313509,0.061827,0.019,0.032,0.007,0.91,1,0.65,0.16,0.23,0.09,6.97,0.145,3.933784497,0.0185,7.114,0.154,0.12048,0.0556,0.0369,0.019,0.1589,0.156,0.09999,0.7,1.18,0.2,0.63,1.04,0.2,0.706,1.138,0.257,0.027,0.045,0.008,89.1,82.35,96.1,0.02325,4630,0.2703,0.4474,0.0356371,3,4.74,1.2,1.36,2.05,0.64,0.173,0.274,0.067,57.1,18,0.094,0.1438,0.525,0.00575
"3",0.067051482,1,8.895081532,0,0.204244,0.009186,0.26,0.325,0.201,1,1,1,0.56,0.62,0.51,3.11,0.024,4.273884476,0.0188,3.662,0.027,0.23098,0.0465,0.0365,0.04,0.1442,0.1367,0.06,16.67,17.95,15.41,4.5,5.7,3.31,8.317,8.249,8.384,0.424,0.473,0.375,1.4,1.4,1.4,0,19678,0.3874,0.3175,0.0766846,36.74,33.5,39.95,15.68,13.19,18.14,2.573,2.478,2.667,26.5,20.7,0.1741,0.175,1.082,-0.01004
"4",0.064089166,1,7.565275282,0.1997,0.248714,0.03627,0.061,0.07,0.051,1,1,1,0.24,0.22,0.31,6.26,0.072,4.168214411,0.0345,6.83,0.085,0.12928,0.0375,0.035,0.011,0.1165,0.2018,0.15616,3.1,3.4,2.8,2.11,2.28,1.95,3.833,3.86,3.807,0.104,0.114,0.095,20.6,20.6,20.6,0,1482,0.3011,0.4671,0.0310391,7.6,7.5,7.7,2.76,2.89,2.63,0.438,0.453,0.424,27.8,22.7,0.1265,0.1496,6.625,-0.002195
"5",0.027929548,1,7.162397497,0.174,0.299252,0.037367,0.017,0.027,0.007,0.82,0.85,0.81,0.17,0.15,0.13,6.71,0.12,3.998200702,0.031,6.816,0.131,0.07932,0.0257,0.0224,0.012,0.0971,0.169,0.13427,0.67,0.98,0.36,0.45,0.66,0.25,1.9,2.084,1.72,0.022,0.033,0.012,58.73,55.56,61.82,0.2,3006,0.3314,0.4561,0.0262808,5.07,5.37,4.78,2.17,2.23,2.11,0.257,0.287,0.229,34.5,17.6,0.1211,0.1308,2.5,0.003283
"6",0.046407439,1,7.218909708,0,0.258865,0.02088,0.023,0.038,0.006,0.5,0.55,0.5,0.08,0.1,0.07,6.7,0.112,3.889777396,0.0303,6.83,0.119,0.07608,0.0151,0.0156,0.009,0.0713,0.0734,0.04899,0.7,1.09,0.3,0.48,0.74,0.21,1.426,1.622,1.227,0.024,0.037,0.01,69.2,64.27,74.2,0.4242,4568,0.3105,0.4599,0.0273643,3.5,3.6,3.4,1.02,0.59,1.46,0.16,0.174,0.146,34.3,8.1,0.0634,0.0762,1,-0.001747
"7",0.06733234,1,7.853604813,0,0.182525,0.014385,0.039,0.063,0.014,0.92,0.94,0.92,0.17,0.21,0.12,6.72,0.082,4.087655574,0.032,6.744,0.087,0.17044,0.0139,0.0134,0.007,0.0615,0.0675,0.0471,1.85,3.11,0.66,1.09,1.74,0.46,2.789,3.426,2.182,0.059,0.097,0.022,42.07,34.56,49.23,0,44752,0.2822,0.4612,0.0334287,5.28,6.64,3.98,2.42,3.28,1.59,0.342,0.484,0.207,46.6,14.7,0.0342,0.0428,12.499,0.009092
"8",0.02097768,1,7.70391021,0.2776,0.215275,0.029713,0.024,0.035,0.013,0.69,0.69,0.69,0.14,0.14,0.13,7.19,0.121,3.919991175,0.0268,7.302,0.131,0.13006,0.0173,0.0165,0.018,0.0796,0.1137,0.07942,0.6,1.13,0.1,0.41,0.77,0.07,2.148,2.21,2.09,0.02,0.038,0.003,49.6,49.6,49.6,0,1750,0.2984,0.4812,0.0234286,4.3,4.83,3.8,1.25,0.85,1.63,0.184,0.219,0.152,34,16.1,0.0864,0.0931,7,0.01163
"9",0.033551236,1,9.063463176,0,0.109614,0.002171,0.402,0.488,0.314,1,1,1,0.9,0.9,0.9,2.91,0.025,4.251348311,0.0146,3.448,0.025,0.20156,0.0474,0.0383,0.088,0.1985,0.1842,0.05831,19.18,22,16.59,11.6,14.14,9.27,9.359,9.389,9.332,0.616,0.723,0.517,2.27,2.25,2.29,0.001585,194303,0.4111,0.2956,0.0947283,46.48,42.06,50.55,22.01,19.07,24.72,3.206,3.154,3.253,28.2,20.6,0.0594,0.046,1,0.008169
"10",0.039146523,1,8.151909873,0.1484,0.110885,0.028579,0.145,0.173,0.114,1,1,1,0.28,0.26,0.4,3.07,0.058,4.186619838,0.0155,3.08,0.06,0.25374,0.0236,0.0223,0.021,0.0998,0.0984,0.05517,3.74,5.22,2.24,2.25,3.06,1.43,5.336,5.549,5.122,0.12,0.166,0.074,10.5,9.01,12.01,0.90485,22283,0.3906,0.3007,0.0622448,13.07,13.72,12.41,6.19,5.62,6.76,0.703,0.785,0.62,20.3,7.2,0.0524,0.0523,2.119,0.007584
"11",0.076126507,1,6.929516771,0.0296,0.165784,0.020115,0.046,0.066,0.025,0.73,0.86,0.63,0.18,0.21,0.14,6.59,0.16,3.793239469,0.0228,6.628,0.164,0.12702,0.0161,0.0158,0.016,0.0682,0.1386,0.10658,3.69,4.45,2.97,2.51,2.98,2.07,3.774,5.054,2.568,0.124,0.149,0.101,53.44,34.3,71.48,0.32665,3841,0.3367,0.4287,0.0325436,23.21,30.17,16.66,8.29,10.49,6.21,1.316,1.683,0.969,27.8,17.2,0.056,0.0826,11.879,0.086032
"12",0.127951209,1,7.237778192,0.2151,0.078488,0.011581,0.022,0.031,0.014,1,0.73,0.72,0.16,0.17,0.19,5.65,0.104,4.044804117,0.0299,6.048,0.109,0.2378,0.0179,0.0041,0.017,0.1251,0.1908,0.16935,1.82,2.82,0.83,1.23,1.94,0.53,2.605,2.857,2.356,0.061,0.095,0.027,47.32,43.25,51.34,0.2,84292,0.3219,0.4287,0.03164,8.83,9.21,8.46,3.79,3.61,3.96,0.594,0.674,0.515,28.2,14.8,0.027,0.0275,1.938,0.007666
"13",-0.024326089,1,8.115819701,0.4318,0.137482,0.026547,0.059,0.073,0.045,1,1,1,0.34,0.31,0.35,4.78,0.101,4.087655574,0.023,5.18,0.116,0.3459,0.0335,0.0262,0.023,0.0987,0.1689,0.11969,2.75,3.8,1.77,1.87,2.56,1.23,5.018,5.186,4.864,0.092,0.127,0.06,17.22,15.74,18.58,0,8579,0.3153,0.3896,0.049423,21.98,20.84,23.03,10.26,9.08,11.36,1.132,1.126,1.138,52.1,18.8,0.0804,0.093,0.003,0.016968
"14",0.078293425,1,7.271703707,0.1689,0.164598,0.044446,0.029,0.045,0.013,0.84,0.83,0.9,0.17,0.18,0.16,6.34,0.096,4.030694535,0.032,6.672,0.106,0.19212,0.0252,0.023,0.017,0.081,0.1104,0.07023,1.2,2.06,0.4,0.82,1.4,0.28,3.001,3.262,2.759,0.04,0.069,0.014,27.9,25.42,30.2,0,18506,0.2947,0.4579,0.0323138,10.5,12.01,9.1,3.8,4.55,3.1,0.568,0.695,0.45,35.9,13.1,0.0617,0.0678,10.479,0.004573
"15",0.112911547,1,7.121252453,0.1832,0.188016,0.045678,0.033,0.051,0.015,0.91,0.94,0.88,0.17,0.19,0.15,6.78,0.112,4.025351691,0.0299,6.886,0.119,0.23302,0.0181,0.0155,0.021,0.1099,0.154,0.1179,1.85,2.96,0.77,1.26,2.01,0.54,3.183,3.5,2.876,0.062,0.099,0.026,36.33,30.74,41.75,0.3,5162,0.3107,0.4505,0.0387447,7.87,8.14,7.6,3.08,3.01,3.16,0.44,0.512,0.369,37.4,12.7,0.0775,0.078,18.476,-0.020322
"16",0.052308191,1,6.977281342,0.0962,0.204611,0.077852,0.037,0.043,0.03,1,1,0.98,0.13,0.13,0.13,6.56,0.073,4.169761202,0.0255,6.752,0.08,0.06638,0.0145,0.0138,0.017,0.0712,0.1203,0.0892,1.56,2.39,0.78,1.24,1.86,0.66,3.544,4.009,3.111,0.056,0.085,0.029,22.76,15.22,29.78,0.2495,2051,0.3178,0.4582,0.0331546,7.75,9.64,5.99,3.1,3.85,2.4,0.419,0.548,0.299,30.3,7.9,0.0668,0.0787,125.99,0.028916
"17",0.03639089,1,7.649692624,0.0227,0.136287,0.04673,0.081,0.105,0.056,0.99,1,0.93,0.25,0.34,0.24,6.68,0.13,3.923951576,0.03,6.814,0.136,0.13666,0.0259,0.0245,0.027,0.089,0.1336,0.08204,3.28,4.63,1.95,2.24,3.12,1.36,3.283,4.037,2.536,0.11,0.155,0.066,38.88,25.49,52.14,0.1,11467,0.3036,0.4365,0.0348827,10.6,12.58,8.63,4.01,4.51,3.51,0.562,0.699,0.427,35.7,14.7,0.0872,0.0938,26.8,0.020228
"18",0.029738225,1,8.056743775,0.0208,0.197853,0.037224,0.083,0.097,0.069,1,1,1,0.44,0.42,0.46,2.84,0.048,4.220977213,0.0119,2.88,0.049,0.1064,0.0261,0.0241,0.014,0.1205,0.1338,0.09596,1.6,1.7,1.5,1.09,1.14,1.04,4.574,4.595,4.553,0.054,0.057,0.051,14.1,13.69,14.5,0,2693,0.397,0.2788,0.0835499,14.1,15.13,13.1,3.1,2.89,3.3,0.722,0.765,0.68,36.6,12.6,0.0557,0.0624,0.052,0.013407
"19",-0.056643579,1,8.780941114,0.2654,0.189867,0.031747,0.068,0.089,0.046,0.94,0.93,0.95,0.27,0.27,0.29,6.12,0.065,4.138361448,0.0389,6.394,0.073,0.06816,0.023,0.018,0.019,0.1039,0.0649,0.02788,2.04,3.15,0.91,1.39,2.13,0.63,2.636,3.037,2.229,0.069,0.106,0.031,47.75,42.41,53.17,0.7259,8970,0.3014,0.4589,0.0261984,7.07,8.26,5.86,2.92,2.86,2.99,0.372,0.462,0.281,34,20.3,0.3178,0.1583,4.5,-0.024761
"20",0.019204802,1,6.28785856,0.4207,0.130682,0.109921,0.053,0.039,0.011,0.74,0.69,0.4,0.27,0.55,0.07,6.23,0.15,3.811097087,0.0228,6.466,0.158,0.14032,0.0243,0.021,0.028,0.0828,0.2534,0.20486,0.56,0.89,0.2,0.39,0.63,0.13,1.629,2.49,0.708,0.019,0.03,0.007,74.16,60.58,88.69,0.00046,495156,0.4259,0.4016,0.0353788,2.63,4.07,1.09,0.99,1.58,0.34,0.142,0.223,0.055,35.5,19.1,0.0201,0.0341,4.762,-0.021656
"21",0.085206004,1,6.137727054,0.1371,0.123818,0.015897,0.028,0.025,0.007,0.72,0.75,0.63,0.12,0.17,0.07,5.51,0.128,3.786459782,0.039,5.442,0.134,0.027133,0.025,0.0174,0.042,0.0799,0.0355,0.01,0.33,0.58,0.08,0.14,0.25,0.04,1.598,2.284,0.927,0.01,0.017,0.002,67.81,55.27,80.1,0.101675,107041,0.3902,0.4117,0.0309508,2.99,4.56,1.45,1.27,1.99,0.56,0.148,0.232,0.065,41.3,21.3,0.0298,0.0297,4.125,-0.054872
"22",0.133982213,1,8.128880142,0,0.16721,0.003311,0.129,0.196,0.063,1,1,1,0.82,0.83,0.83,2.02,0.018,4.252771799,0.0099,2.074,0.025,0.30274,0.0413,0.0317,0.01,0.078,0.1255,0.08403,6.26,10.81,2.1,3.91,7.47,0.65,6.882,7.355,6.449,0.204,0.366,0.055,2.12,0.7,3.41,0.00422,98881,0.4935,0.2686,0.0624893,33.84,32.99,34.63,11.2,9.07,13.16,1.727,1.91,1.56,28.1,23.2,0.057,0.0609,360,-0.054874
"23",0.173024738,1,6.680854679,0.4713,0.228424,0.029328,0.062,0.09,0.032,1,1,0.97,0.35,0.44,0.25,4.84,0.062,4.037774211,0.0276,5.346,0.073,0.09558,0.0436,0.0352,0.051,0.1237,0.2038,0.11762,3.6,6.56,0.9,2.66,4.85,0.66,4.426,5.81,3.162,0.125,0.228,0.031,43.6,31.34,54.8,0.10404,28530,0.3438,0.4184,0.0327725,17.5,25.82,9.9,7.76,11.92,3.95,0.974,1.526,0.47,62.4,34.9,0.0206,0.0618,265.69,0.018194
"24",0.109699147,1,7.177018766,0.0178,0.18524,0.015453,0.02,0.026,0.013,0.9,0.96,0.8,0.28,0.34,0.21,6.25,0.055,4.058717385,0.03,6.632,0.064,0.16828,0.0332,0.0281,0.02,0.126,0.1409,0.09313,1.46,2.01,0.89,1.24,1.73,0.72,2.82,3.998,1.588,0.054,0.075,0.032,50.57,32.22,69.77,0,9502,0.34,0.4497,0.0322037,9.39,14.06,4.49,3.99,6,1.89,0.571,0.843,0.286,26.9,24.1,0.2295,0.199,3.061,-0.034733
"25",0.015989904,1,6.64898455,0.4762,0.171181,0.058937,0.018,0.028,0.007,0.4,0.59,0.22,0.12,0.18,0.07,7,0.149,3.824284091,0.0268,7.132,0.156,0.16442,0.0252,0.0154,0.026,0.1071,0.1918,0.1508,1.28,1.81,0.7,1.11,1.56,0.6,1.121,1.527,0.67,0.048,0.067,0.026,83.02,77.92,88.68,0,57145,0.3323,0.4495,0.0361886,4.65,6.65,2.42,1.74,2.62,0.76,0.357,0.512,0.185,39.9,26.9,0.0178,0.0634,4.762,-0.000222
"26",0.062249766,1,6.879355804,0.2927,0.179508,0.035842,0.188,0.169,0.208,1,1,1,0.41,0.42,0.38,6.8,0.072,4.016383021,0.0297,6.896,0.076,0.12914,0.0262,0.0233,0.013,0.0839,0.1503,0.11397,7.74,8.49,7.03,5.03,5.16,4.91,4.222,4.661,3.802,0.256,0.273,0.239,27.72,24.43,30.88,0,32030,0.3738,0.4616,0.0293475,11.98,14.45,9.61,5.06,6.5,3.69,0.651,0.759,0.547,31.4,31.2,0.0695,0.0728,4.017,0.033636
"27",0.109870689,1,7.347299701,0.1017,0.247626,0.037392,0.08,0.133,0.027,0.78,1,0.52,0.28,0.43,0.12,7.66,0.114,3.966511191,0.031,7.456,0.125,0.13298,0.034,0.0304,0.075,0.1324,0.082,0.01,0.96,1.64,0.28,0.64,1.11,0.17,1.374,2.2,0.54,0.032,0.055,0.009,72.17,55.01,89.49,0.75,5325,0.264,0.4658,0.0439437,3.07,4.55,1.57,1.5,2.26,0.72,0.195,0.303,0.085,36.2,21.6,0.086,0.0898,3.177,0.010162
"28",0.092106277,1,6.725033642,0.0266,0.179933,0.046376,0.015,0.02,0.01,0.78,0.82,0.76,0.14,0.14,0.1,6.31,0.088,4.018183201,0.0302,6.394,0.096,0.13944,0.0209,0.0181,0.025,0.0969,0.1016,0.05862,0.85,1.23,0.49,0.85,1.23,0.49,3.242,4.027,2.478,0.034,0.049,0.02,41.96,31.57,52.07,0,30641,0.5047,0.4525,0.0292092,5.17,7.69,2.73,1.71,2.59,0.86,0.258,0.382,0.137,34.6,16.5,0.0558,0.0613,20.8,-0.018514
"29",0.083376041,1,8.451053389,0,0.358556,0.016468,0.09,0.133,0.044,1,1,1,0.52,0.52,0.52,2.69,0.028,4.242764567,0.0058,2.78,0.033,0.21124,0.0299,0.0248,0.012,0.1296,0.1684,0.13139,2.81,5.1,0.98,1.59,3.02,0.46,4.002,4.49,3.615,0.088,0.162,0.029,1.79,1.76,1.82,0,7271,0.4473,0.2327,0.1317563,8.32,10.11,6.89,3.6,4.47,2.91,0.766,1.087,0.51,21.9,15.3,0.1687,0.1635,26,0.010943
"30",0.076233453,1,8.602453035,0,0.416234,0.014721,0.148,0.194,0.1,1,1,1,0.75,0.77,0.73,2.61,0.024,4.261270434,0.0071,2.64,0.028,0.23906,0.0507,0.0463,0.035,0.1271,0.1299,0.04905,4.51,6.35,2.81,3.66,5.54,1.93,7.592,7.898,7.311,0.163,0.238,0.095,1.8,2.56,1.1,0,9464,0.3769,0.2357,0.1260566,29.87,31.01,28.82,12.93,13.77,12.17,1.554,1.724,1.398,20.6,7.2,0.2629,0.2698,50,-0.001521
"31",0.084023841,1,8.619027497,0,0.293138,0.005517,0.142,0.16,0.122,1,1,1,0.56,0.53,0.59,2.83,0.022,4.266896327,0.013,3.82,0.026,0.2456,0.0289,0.0231,0.059,0.1567,0.1502,0.0681,2.66,3.97,1.49,1.36,2.25,0.57,4.711,4.823,4.612,0.08,0.124,0.041,1.79,2.57,1.1,0.004295,48758,0.4233,0.2558,0.1210878,9.85,9.12,10.51,3.97,3.54,4.36,0.699,0.749,0.655,29.5,17,0.1099,0.102,4.937,0.008913
"32",0.052940778,1,8.733755131,0,0.30472,0.011658,0.088,0.13,0.043,1,1,1,0.45,0.35,0.55,2.51,0.024,4.251348311,0.0112,2.468,0.029,0.3185,0.0297,0.0211,0.045,0.1441,0.156,0.08969,2.39,3.3,1.64,1.36,2.07,0.77,7.916,8.196,7.684,0.075,0.107,0.048,0.9,1.58,0.33,0,59012,0.4528,0.2223,0.1192639,15.87,18.65,13.57,6.87,8.26,5.73,0.551,0.67,0.451,27.4,22.8,0.1472,0.1332,4,0.035536
"33",0.116989631,1,7.665753432,0.007,0.288405,0.011589,0.098,0.134,0.062,1,1,1,0.49,0.62,0.44,2.3,0.034,4.254193263,0.0053,2.244,0.039,0.27082,0.0164,0.0137,0.041,0.1147,0.1399,0.08498,3,4.78,1.41,2.88,4.57,1.38,5.018,5.857,4.276,0.118,0.187,0.056,17.34,6.98,26.49,0.0118,8551,0.3975,0.2565,0.0885277,9.59,11.51,7.89,4.34,4.89,3.86,0.598,0.779,0.437,35.6,25.9,0.0712,0.1308,30,0.022097
"34",0.067851712,1,7.998671361,0,0.345485,0.006503,0.119,0.159,0.075,1,1,1,0.51,0.53,0.44,4.03,0.025,4.259859001,0.0031,3.908,0.029,0.19378,0.0341,0.0286,0.014,0.1391,0.153,0.11061,4.5,5.52,3.5,2.55,3.49,1.63,6.449,6.367,6.529,0.141,0.18,0.103,4,4,4,0,2876,0.3898,0.3113,0.1119611,26.7,22.32,31,11.56,10.01,13.09,1.418,1.301,1.533,33.2,14.2,0.2195,0.2614,0.357,0.004606
"35",0.073904906,1,8.281977059,0,0.28844,0.005995,0.107,0.14,0.073,1,1,1,0.47,0.53,0.42,2.66,0.036,4.254193263,0.007,2.506,0.041,0.29036,0.0365,0.0303,0.032,0.1214,0.16,0.09721,2.47,3.79,1.27,1.4,2.29,0.6,4.83,5.258,4.441,0.078,0.122,0.037,10.32,7.86,12.56,0,52112,0.4008,0.2465,0.0996891,15.15,17.51,13.01,6.15,7.11,5.27,0.96,1.184,0.756,22.1,12.3,0.0752,0.0842,625,-0.009181
"36",0.074070649,1,8.627123251,0,0.371898,0.014586,0.168,0.243,0.087,1,1,1,0.61,0.64,0.55,3.03,0.014,4.297285406,0.0136,3.162,0.017,0.27884,0.0531,0.0412,0.044,0.1384,0.1556,0.07081,2.73,4.4,1.14,1.55,2.62,0.53,5.693,6.01,5.391,0.086,0.14,0.033,0,0,0,0,12292,0.3567,0.286,0.0955906,14.19,15.61,12.84,4.45,5.05,3.88,0.723,0.884,0.57,31.1,19,0.2816,0.2827,3.62,0.002372
"37",0.065837688,1,8.733110698,0,0.287587,0.003998,0.107,0.136,0.075,0.97,1,1,0.64,0.66,0.66,2.93,0.017,4.300002799,0.0078,2.904,0.018,0.27976,0.0461,0.0349,0.034,0.137,0.1599,0.09101,2.36,4.01,0.79,1.05,1.89,0.25,5.863,6.115,5.623,0.068,0.118,0.021,0.79,0.79,0.78,0,3723,0.4036,0.2517,0.1195273,16.93,17.83,16.07,8.86,8.36,9.33,0.915,1.026,0.81,21.5,10.6,0.3229,0.3448,7.143,0.007208
"38",0.094851094,1,8.144969417,0,0.235179,0.009676,0.056,0.088,0.025,1,1,1,0.38,0.46,0.29,2.94,0.038,4.261270434,0.0102,2.864,0.042,0.16776,0.0117,0.0097,0.02,0.0785,0.0948,0.06461,1.82,2.9,0.88,1.03,1.74,0.41,3.851,4.188,3.553,0.057,0.093,0.026,21.23,17.8,24.26,0,32056,0.3668,0.2767,0.0856314,4.86,6.14,3.73,2.02,2.68,1.43,0.439,0.598,0.299,33.7,22.5,0.048,0.0492,59.997,0.009702
"39",0.052705361,1,8.769973212,0,0.265778,0.008629,0.131,0.15,0.11,0.95,0.94,0.97,0.62,0.63,0.87,2.39,0.013,4.302712828,0.0067,2.286,0.015,0.26512,0.0499,0.0412,0.041,0.1661,0.2305,0.14846,7.65,8.15,7.17,4.34,5.36,3.35,7.616,7.92,7.323,0.24,0.27,0.21,0.73,1.1,0.38,0,7734,0.4516,0.2137,0.1265839,34.07,35.98,32.22,21.67,24.46,18.98,2.425,2.629,2.228,20.2,12.1,0.2064,0.2053,5.173,-0.000185
"40",0.047180483,1,8.63212773,0,0.282939,0.005048,0.12,0.167,0.07,0.92,0.97,1,0.66,0.66,0.65,2.86,0.02,4.264087337,0.0068,2.828,0.022,0.1852,0.0451,0.0345,0.063,0.1638,0.2211,0.12382,2.53,3.82,1.38,1.43,2.32,0.65,7.272,7.234,7.306,0.079,0.123,0.041,0,0,0,0,54350,0.4581,0.2373,0.120092,26.98,23.91,29.71,4.54,2.99,5.91,1.097,1.036,1.151,23.1,15,0.1518,0.1576,0.357,0.011117
"41",0.039024165,1,8.718990525,0,0.150366,0.024377,0.146,0.181,0.108,1,1,1,0.75,0.75,0.53,3.73,0.02,4.265492818,0.0204,3.988,0.021,0.22554,0.0332,0.0256,0.019,0.111,0.2083,0.16392,4.9,6.96,2.9,1.89,2.73,1.07,9.54,9.702,9.383,0.136,0.194,0.079,0.9,0.9,0.9,0,2628,0.3746,0.323,0.0814307,54.3,52.65,55.9,23.51,23.43,23.6,2.19,2.25,2.132,28,19.7,0.1694,0.1688,0.719,0.02292
"42",0.01677521,1,7.360739903,0.4181,0.218471,0.027087,0.032,0.038,0.012,0.93,1,0.75,0.2,0.25,0.14,7.26,0.12,4.007333185,0.0306,7.368,0.161,0.2456,0.0567,0.0394,0.02,0.1443,0.1465,0.08737,0.64,1.11,0.23,0.42,0.75,0.14,1.11,1.792,0.52,0.021,0.037,0.007,78.73,65.87,89.87,0,16018,0.2156,0.474,0.0418279,2.7,4.28,1.34,1.38,2.26,0.62,0.168,0.276,0.074,40.9,25.9,0.1905,0.2257,3.949,0.205768
"43",0.060046086,1,6.628041376,0,0.197079,0.045704,0.013,0.019,0.004,0.97,1,0.87,0.13,0.18,0.08,6.3,0.114,3.941581808,0.0268,5.988,0.154,0.11812,0.0338,0.0302,0.018,0.1179,0.1884,0.13981,0.3,0.51,0.1,0.2,0.34,0.07,1.246,1.961,0.58,0.01,0.017,0.003,75.8,63.26,87.5,0,7520,0.4503,0.4182,0.0352394,4.4,7.4,1.6,1.22,2.03,0.46,0.233,0.393,0.085,50.4,29.9,0.1079,0.1158,222.42,-0.045027
"44",0.066629433,1,6.65929392,0.6114,0.184067,0.018212,0.135,0.188,0.084,0.71,0.89,0.57,0.43,0.56,0.3,5.38,0.132,3.992680908,0.0187,5.63,0.175,0.127,0.0535,0.0489,0.251,0.2527,0.2581,0.01,3.4,5.54,1.3,2.99,4.96,1.05,1.32,2.027,0.626,0.128,0.21,0.047,86.3,79.59,92.9,0.102815,36289,0.2805,0.4066,0.0423544,5.7,8.35,3.1,2.78,4.15,1.43,0.458,0.707,0.214,34.8,26.7,0.098,0.1423,0.456,0.030115
