"wouldvote","peacefactor","peace_formerenemies","peace_jjindiv","peace_jjtribes","gos_soldier_execute","directlyharmed","age","farmer_dar","herder_dar","pastvoted","hhsize_darfur","village","female"
0,1,1,1,1,0,0,30,0,0,1,23,"Abdel Khair",0
0,0.706830720721758,0,1,1,0,0,20,1,0,1,5,"Abdi Dar",1
1,0,0,0,0,1,0,45,1,0,0,15,"Abu Sorog",0
1,0.495177711644244,1,0,0,0,1,55,0,0,0,9,"Abu Dejaj",0
0,0,0,0,0,1,1,25,1,0,1,7,"Abu Dejaj",1
0,0,0,0,0,1,0,33,1,1,0,6,"Abu Dejaj",1
0,0,0,0,0,1,1,25,0,0,0,12,"Abu Gamra",0
0,0.797991567633998,1,1,1,1,0,25,0,0,1,5,"Abu Gamra",1
0,0,0,0,0,1,0,60,1,0,1,6,"Abu Gamra",1
0,0,0,0,0,1,1,30,1,0,0,15,"Abu Gamra",1
0,0.202008432366002,0,0,0,0,0,35,1,0,1,8,"Abu Gamra",0
0,0,0,0,0,1,0,30,1,0,0,17,"Abu Gamra",1
0,0,0,0,0,1,0,35,1,1,1,8,"Abu Gamra",0
0,0.202008432366002,0,0,0,0,1,37,1,0,1,3,"Abu Gamra",1
0,0.592909987627917,1,0,1,1,0,50,1,0,1,10,"Abu Gamra",1
0,0.592909987627917,1,0,1,1,0,40,1,0,1,5,"Abu Gamra",0
0,0.293169279278242,1,0,0,1,0,55,1,1,0,4,"Abu Gamra",1
0,0,0,0,0,1,0,20,1,0,1,7,"Abu Gamra",0
0,0.202008432366002,0,0,0,0,0,22,1,0,1,8,"Abu Gamra",1
0,0,0,0,0,1,0,32,0,0,0,6,"Abu Gamra",1
0,0.592909987627917,1,0,1,1,0,18,0,0,1,17,"Abu Gamra",1
1,0.794918419993918,1,0,1,0,1,19,0,0,1,2,"Abu Gamra",0
0,0.202008432366002,0,0,0,0,0,74,1,0,1,60,"Abu Gamra",0
0,0,0,0,0,1,0,24,0,0,1,5,"Abu Gamra",1
0,0.293169279278242,1,0,0,1,0,18,1,0,1,4,"Abu Gamra",1
0,0,0,0,0,1,0,40,1,1,1,3,"Abu Gamra",1
0,0.797991567633998,1,1,1,1,0,39,0,0,0,16,"Abu Gamra",0
1,0.293169279278242,1,0,0,1,1,38,1,0,1,7,"Abu Gamra",0
0,0.592909987627917,1,0,1,1,0,90,1,0,1,13,"Abu Gamra",0
0,0,0,0,0,1,0,49,1,0,1,9,"Abu Gamra",1
0,0,0,0,0,1,0,70,1,1,1,9,"Abu Gamra",0
1,0.794918419993918,1,0,1,0,1,32,0,0,0,8,"Abu Gamra",0
0,0.592909987627917,1,0,1,1,0,23,0,0,1,18,"Abu Gamra",1
0,0,0,0,0,1,1,29,1,0,1,7,"Abu Gamra",0
0,0,0,0,0,1,0,37,1,1,1,13,"Abu Gamra",0
0,0.299740708349675,0,0,1,1,1,50,1,0,0,19,"Abu Gamra",0
0,0,0,0,0,1,0,80,1,0,1,8,"Abu Gamra",1
1,0.794918419993918,1,0,1,0,0,34,1,0,0,4,"Abu Gamra",0
0,0.794918419993918,1,0,1,0,0,30,1,0,1,8,"Abu Gamra",1
1,1,1,1,1,0,1,65,1,1,1,7,"Abu Gamra",0
0,0.202008432366002,0,0,0,0,0,71,1,1,1,7,"Abu Gamra",1
1,1,1,1,1,0,0,53,1,0,1,7,"Abu Gamra",0
0,0,0,0,0,1,1,39,1,1,1,8,"Abu Gamra",0
0,0,0,0,0,1,0,40,1,0,0,50,"Abu Gamra",1
0,0.495177711644244,1,0,0,0,0,50,1,0,0,7,"Abu Gamra",0
1,0.794918419993918,1,0,1,0,0,65,1,0,0,10,"Abu Gamra",0
0,0.293169279278242,1,0,0,1,0,32,1,0,1,3,"Abu Gamra",0
0,0.592909987627917,1,0,1,1,1,36,1,0,0,7,"Abu Gamra",0
0,1,1,1,1,0,0,40,1,0,1,11,"Abu Gamra",0
0,0,0,0,0,1,1,72,1,0,1,3,"Abu Gamra",0
1,0,0,0,0,1,1,55,1,0,1,16,"Abu Gamra",0
1,1,1,1,1,0,1,19,0,0,1,11,"Abu Gamra",0
0,0.794918419993918,1,0,1,0,0,77,1,0,1,50,"Abu Gamra",0
0,0,0,0,0,1,0,85,1,0,0,30,"Abu Gamra",0
0,0,0,0,0,1,1,40,1,0,0,8,"Abu Gawar",0
0,0,0,0,0,1,0,57,1,0,0,17,"Abu Geran",0
0,0,0,0,0,1,1,40,1,1,1,10,"Abu Geran",1
1,0.797991567633998,1,1,1,1,0,45,1,0,0,7,"Abu Jidad",0
0,0.202008432366002,0,0,0,0,1,76,1,1,0,19,"Abu Jidad",0
1,0,0,0,0,1,0,29,0,0,1,6,"Abu Lihya",1
0,1,1,1,1,0,1,42,1,1,1,25,"Abu Lihya",0
1,0.202008432366002,0,0,0,0,0,54,0,1,1,12,"Abu Lihya",0
0,0,0,0,0,1,0,21,1,0,1,15,"Abu Lihya",1
0,0,0,0,0,1,0,43,1,0,0,12,"Abu Mugu",0
0,0.202008432366002,0,0,0,0,0,60,1,0,0,8,"Abu Shouka",0
0,0.706830720721758,0,1,1,0,0,53,1,0,1,8,"Abu Sorog",0
0,0.202008432366002,0,0,0,0,1,35,0,0,1,8,"Abu Sorog",1
1,0.202008432366002,0,0,0,0,0,60,1,0,1,15,"Abune",0
0,0,0,0,0,1,0,27,0,0,1,3,"Adar",0
0,0.202008432366002,0,0,0,0,0,28,1,1,1,7,"Adar",1
1,1,1,1,1,0,0,35,1,0,1,17,"Adar",0
0,1,1,1,1,0,1,67,1,0,0,9,"Adar",0
0,0,0,0,0,1,0,29,0,0,1,3,"Adar",1
1,0.293169279278242,1,0,0,1,0,84,1,1,1,24,"Adar",0
0,0,0,0,0,1,1,65,1,1,1,14,"Adar",1
0,0,0,0,0,1,0,24,0,0,0,19,"Adar",1
1,1,1,1,1,0,1,39,0,0,0,6,"Adar",0
0,0,0,0,0,1,1,38,1,1,1,10,"Adar",1
1,0.293169279278242,1,0,0,1,1,24,1,1,1,12,"Adar",0
1,1,1,1,1,0,1,40,0,0,0,26,"Adar",0
1,0.299740708349675,0,0,1,1,0,28,1,0,1,6,"Adar",0
0,1,1,1,1,0,0,62,1,0,0,13,"Adar",0
1,0.706830720721758,0,1,1,0,1,30,0,0,1,12,"Adar",0
1,0.202008432366002,0,0,0,0,1,58,1,0,1,16,"Adar",0
1,0.498250859284323,1,1,0,1,0,40,1,0,1,7,"Adar",0
0,0.797991567633998,1,1,1,1,0,25,1,0,0,1,"Adar",0
0,0,0,0,0,1,0,70,1,0,1,8,"Adar",1
0,0.299740708349675,0,0,1,1,1,27,0,0,1,10,"Adar",0
1,0.299740708349675,0,0,1,1,1,37,1,1,0,6,"Adar",0
1,0.293169279278242,1,0,0,1,0,20,1,1,1,12,"Adar",0
0,0.202008432366002,0,0,0,0,1,35,1,0,1,20,"Adar",1
0,0.202008432366002,0,0,0,0,0,40,1,0,0,11,"Adar",1
0,0,0,0,0,1,1,39,0,1,1,9,"Adar",1
0,0.202008432366002,0,0,0,0,1,66,1,0,0,13,"Adar",0
0,0.592909987627917,1,0,1,1,0,28,1,0,1,10,"Adar",1
0,0,0,0,0,1,0,50,1,0,1,4,"Adar",1
1,0.797991567633998,1,1,1,1,1,55,1,0,0,14,"Adar",0
1,0.592909987627917,1,0,1,1,1,30,1,0,1,8,"Adar",0
0,0.495177711644244,1,0,0,0,0,39,1,0,0,10,"Agadier",0
1,0,0,0,0,1,1,21,1,1,1,9,"Agudna",1
0,0,0,0,0,1,0,19,1,0,1,7,"Agumi",1
0,0.797991567633998,1,1,1,1,1,18,0,0,1,7,"Aid Alkhair",0
0,0.299740708349675,0,0,1,1,0,85,1,1,1,5,"Aid Alkhair",1
0,0.592909987627917,1,0,1,1,0,42,0,0,1,25,"Aid Alkhair",0
1,0,0,0,0,1,1,50,1,0,0,9,"Airgy",0
0,1,1,1,1,0,1,35,1,1,1,15,"Aish Barra",1
1,0.202008432366002,0,0,0,0,1,38,1,0,1,4,"Aish Barra",0
0,0,0,0,0,1,0,20,1,0,1,8,"Aish Barra",1
0,0,0,0,0,1,0,41,1,1,0,7,"Aish Barra",1
0,0.794918419993918,1,0,1,0,0,26,1,0,1,7,"Aish Barra",0
0,0,0,0,0,1,0,21,1,0,1,3,"Ajayana",0
0,0.794918419993918,1,0,1,0,0,28,1,0,1,3,"Ajiji",0
0,0,0,0,0,1,0,35,1,0,1,6,"Akomi",1
0,0.706830720721758,0,1,1,0,1,23,0,0,1,14,"Al Gedisa",1
1,1,1,1,1,0,1,44,0,0,0,18,"Al Geneina",0
0,0,0,0,0,1,0,47,1,0,1,16,"Al Geneina",1
1,0,0,0,0,1,0,40,1,0,1,5,"Allah Forga",1
0,0.202008432366002,0,0,0,0,1,20,1,0,1,8,"Almetrabia",0
0,0,0,0,0,1,0,38,0,0,0,15,"Am Baro",1
0,0,0,0,0,1,0,35,1,0,1,5,"Am Baro",1
0,0.293169279278242,1,0,0,1,0,80,1,1,1,7,"Am Baro",1
1,1,1,1,1,0,0,60,1,1,0,15,"Am Baro",0
1,0.794918419993918,1,0,1,0,1,23,0,0,1,11,"Am Dalal",0
1,0.501749140715677,0,0,1,0,1,57,1,0,1,11,"Am Dalal",0
1,0.794918419993918,1,0,1,0,1,46,1,0,1,5,"Am Dalal",0
1,0.495177711644244,1,0,0,0,0,55,1,1,0,10,"Am Dariro",0
0,0,0,0,0,1,0,35,1,0,1,8,"Am Dukhn",1
1,1,1,1,1,0,1,40,1,0,1,20,"Am Jarad",0
1,0.495177711644244,1,0,0,0,0,50,1,0,0,10,"Am Jemma",0
0,0,0,0,0,1,1,40,1,0,0,21,"Am Kharouba",1
0,0,0,0,0,1,1,28,1,0,1,7,"Amar",1
1,0,0,0,0,1,0,50,1,0,1,8,"Amdukhn",1
1,0.794918419993918,1,0,1,0,0,50,1,0,0,4,"Andabook",0
0,0.202008432366002,0,0,0,0,1,25,1,0,1,10,"Anderola",1
0,1,1,1,1,0,1,60,1,1,1,3,"Andita",1
0,0,0,0,0,1,0,35,1,0,1,7,"Andita",0
0,0.797991567633998,1,1,1,1,0,37,1,0,0,5,"Anjilati",0
0,0.592909987627917,1,0,1,1,1,48,1,0,0,10,"Anjokati",0
0,0.202008432366002,0,0,0,0,0,20,1,0,1,9,"Aorda",1
0,0,0,0,0,1,0,35,1,1,0,4,"Aradeeba",1
1,0,0,0,0,1,0,46,1,0,0,30,"Arara",0
0,0,0,0,0,1,0,18,1,0,0,6,"Arara",1
0,0.299740708349675,0,0,1,1,0,35,1,0,1,8,"Arara",1
0,0.797991567633998,1,1,1,1,0,25,1,0,1,2,"Arara",0
0,0.706830720721758,0,1,1,0,0,45,1,0,1,16,"Arara",0
0,0.293169279278242,1,0,0,1,0,23,0,0,0,13,"Arara",1
1,0.495177711644244,1,0,0,0,1,63,1,1,0,10,"Argote",0
0,1,1,1,1,0,1,90,1,1,0,15,"Argoy",0
0,0,0,0,0,1,0,45,1,0,1,12,"Arimba",1
0,0.202008432366002,0,0,0,0,1,33,1,0,0,8,"Armi",1
0,0,0,0,0,1,1,20,1,0,1,9,"Arola",1
1,0,0,0,0,1,1,90,0,0,0,15,"Aroom",0
0,0,0,0,0,1,1,27,1,0,1,3,"Aroom",1
1,0,0,0,0,1,0,24,1,0,1,7,"Aroom",1
0,0,0,0,0,1,0,25,1,0,1,20,"Aroom",1
0,0,0,0,0,1,1,35,1,0,1,8,"Aroom",1
0,0,0,0,0,1,1,35,1,1,1,7,"Aroom",1
0,0,0,0,0,1,1,18,1,0,1,12,"Aroom",1
0,0,0,0,0,1,1,27,1,0,1,5,"Aroom",1
0,0,0,0,0,1,1,27,1,0,0,23,"Aroom",1
0,0.202008432366002,0,0,0,0,1,18,1,0,1,6,"Aroom",1
0,0,0,0,0,1,1,53,1,0,0,10,"Aroom",0
1,1,1,1,1,0,0,40,1,0,0,5,"Arsa",0
1,0.495177711644244,1,0,0,0,0,58,1,0,0,14,"Arsaliya",0
0,0,0,0,0,1,0,28,1,0,1,4,"Asirni",1
0,1,1,1,1,0,0,35,1,0,1,8,"Asirni",0
0,0,0,0,0,1,1,27,0,0,1,12,"Asirni",1
0,0,0,0,0,1,1,100,1,0,1,5,"Asirni",1
0,0.794918419993918,1,0,1,0,1,19,0,1,1,5,"Ata",0
0,0.293169279278242,1,0,0,1,1,45,1,0,0,3,"Aurab",1
0,0.495177711644244,1,0,0,0,0,22,1,0,1,9,"AwSanga",1
1,0.202008432366002,0,0,0,0,1,27,0,0,0,28,"Awrish",0
1,0.202008432366002,0,0,0,0,0,30,1,0,1,13,"Badaria",0
0,0,0,0,0,1,1,40,1,1,1,10,"Bajourba",1
0,0.293169279278242,1,0,0,1,1,50,1,0,0,10,"Bakjo",0
1,0.293169279278242,1,0,0,1,0,66,1,0,0,5,"Baldi",0
0,0.202008432366002,0,0,0,0,1,35,1,0,1,5,"Bandis",1
0,0,0,0,0,1,0,18,0,0,1,7,"Bandis",0
0,0,0,0,0,1,0,60,1,0,1,22,"Bandis",1
0,0,0,0,0,1,1,55,0,1,1,10,"Bandis",1
0,0.202008432366002,0,0,0,0,1,22,1,0,1,6,"Bandis",1
1,0,0,0,0,1,0,47,1,0,1,6,"Bandis",0
0,0.202008432366002,0,0,0,0,1,28,1,0,1,18,"Bandis",1
1,0.202008432366002,0,0,0,0,0,35,1,0,0,22,"Bandis",1
0,0,0,0,0,1,1,33,1,0,1,20,"Bandis",1
0,0.501749140715677,0,0,1,0,1,20,1,0,1,10,"Bandis",1
1,0.501749140715677,0,0,1,0,0,26,1,0,1,2,"Bango",0
0,0.202008432366002,0,0,0,0,1,77,1,0,0,20,"Baranga",0
1,0.495177711644244,1,0,0,0,1,40,1,0,0,34,"Baranga",0
0,0.202008432366002,0,0,0,0,0,85,1,0,0,7,"Bardia",0
1,1,1,1,1,0,0,55,1,0,0,10,"Bardia",0
1,0,0,0,0,1,1,30,1,0,1,8,"Bardia",0
0,0,0,0,0,1,0,35,1,0,0,3,"Bare",1
1,0.501749140715677,0,0,1,0,1,21,1,0,0,8,"Barkhalla",0
0,0.794918419993918,1,0,1,0,0,40,1,1,0,16,"Basaw",1
1,0,0,0,0,1,0,27,1,0,0,3,"Beero",1
1,0.797991567633998,1,1,1,1,0,26,0,0,1,9,"Beida",0
0,0,0,0,0,1,0,30,1,0,1,10,"Beida",1
0,0.293169279278242,1,0,0,1,0,40,1,0,0,8,"Beida",1
1,0,0,0,0,1,0,27,0,1,1,7,"Beida",1
1,0.794918419993918,1,0,1,0,1,25,1,0,1,5,"Beida",0
0,0,0,0,0,1,0,18,0,0,1,7,"Beida",0
0,0.495177711644244,1,0,0,0,0,20,1,0,1,5,"Beida",1
0,0,0,0,0,1,0,70,1,0,0,11,"Beida",1
1,1,1,1,1,0,1,19,1,0,0,8,"Beida",0
0,1,1,1,1,0,0,34,0,0,0,3,"Beida",0
0,0,0,0,0,1,0,20,1,0,1,5,"Beida",1
1,0.592909987627917,1,0,1,1,0,48,1,0,0,6,"Beida",0
0,1,1,1,1,0,0,43,1,0,0,13,"Beida",0
0,1,1,1,1,0,0,26,1,0,0,3,"Beida",0
0,0.299740708349675,0,0,1,1,1,31,1,0,0,3,"Beida",1
1,0.501749140715677,0,0,1,0,0,27,1,0,1,4,"Beir Saliba",1
1,0.293169279278242,1,0,0,1,0,25,1,0,0,9,"Beir Saliba",1
0,0.794918419993918,1,0,1,0,0,57,0,0,1,14,"Beir Saliba",0
1,0,0,0,0,1,1,38,1,0,0,10,"Beir Saliba",0
0,0.202008432366002,0,0,0,0,0,27,1,0,1,5,"Beir Saliba",1
0,0.293169279278242,1,0,0,1,0,37,0,0,0,6,"Beir Saliba",0
0,0.202008432366002,0,0,0,0,0,18,0,0,1,10,"Beir Saliba",0
1,0,0,0,0,1,0,52,1,0,0,15,"Beir Saliba",0
1,0.495177711644244,1,0,0,0,1,43,1,1,1,8,"Beir Saliba",0
0,0.202008432366002,0,0,0,0,0,46,1,0,0,11,"Beir Saliba",0
0,0.797991567633998,1,1,1,1,0,43,1,0,1,7,"Beir Saliba",0
0,0.592909987627917,1,0,1,1,0,20,1,0,1,7,"Beir Saliba",1
0,0.592909987627917,1,0,1,1,0,67,1,0,1,8,"Beir Saliba",1
1,0.495177711644244,1,0,0,0,0,33,1,0,0,5,"Berdia",0
1,0.293169279278242,1,0,0,1,1,19,0,0,1,5,"Bireiga",0
1,0.202008432366002,0,0,0,0,1,20,1,0,1,5,"Bertabid",1
1,1,1,1,1,0,0,26,1,0,1,8,"Bida Alginina",0
0,0,0,0,0,1,0,35,1,0,0,8,"Bidigy",1
1,0.592909987627917,1,0,1,1,1,53,1,1,1,13,"Bidt Faraga",0
0,0.797991567633998,1,1,1,1,0,59,1,0,1,33,"Bier Saliba",0
1,0,0,0,0,1,0,37,1,0,1,15,"Biera",0
0,0,0,0,0,1,1,25,1,0,1,10,"Bigaga",1
0,0.202008432366002,0,0,0,0,0,53,1,0,0,10,"Binary Mbila",0
1,0.794918419993918,1,0,1,0,1,51,1,0,1,40,"Bindis",0
1,0.293169279278242,1,0,0,1,0,40,0,0,0,13,"Bindis",0
1,0.293169279278242,1,0,0,1,0,59,1,1,1,6,"Bindis",0
1,0,0,0,0,1,1,35,1,0,1,16,"Bindis",0
0,0,0,0,0,1,1,37,1,0,1,12,"Bindis",1
0,0.293169279278242,1,0,0,1,0,40,0,0,0,5,"Bindis",0
0,0,0,0,0,1,0,26,1,0,1,8,"Bindis",1
0,0.202008432366002,0,0,0,0,1,20,1,1,1,8,"Bindis",1
0,0.293169279278242,1,0,0,1,0,80,1,0,0,5,"Bindis",0
1,0.202008432366002,0,0,0,0,1,64,1,1,0,14,"Bindis",0
1,0.794918419993918,1,0,1,0,0,35,1,0,1,4,"Bindis",1
1,0.794918419993918,1,0,1,0,1,43,1,0,0,16,"Bindis",0
1,0,0,0,0,1,1,26,1,0,0,7,"Bindis",1
1,0.794918419993918,1,0,1,0,1,29,1,0,0,2,"Bindis",0
1,0.501749140715677,0,0,1,0,1,41,1,0,1,8,"Bindis",1
0,0.495177711644244,1,0,0,0,1,69,1,0,1,9,"Binediyah",0
1,0.797991567633998,1,1,1,1,1,32,1,0,1,4,"Biot Mofarag",0
1,0.794918419993918,1,0,1,0,0,19,0,0,0,7,"Bir Tabat",0
1,0.495177711644244,1,0,0,0,1,49,1,0,1,17,"Bir Tabat",0
1,0.504822288355756,0,1,1,1,0,48,1,0,1,13,"Birdeya",0
0,0,0,0,0,1,0,20,1,0,1,8,"Birdeya",1
1,0.501749140715677,0,0,1,0,1,50,1,1,1,8,"Birgy",1
0,0.293169279278242,1,0,0,1,1,35,1,0,1,8,"Birhaliba",1
1,0.495177711644244,1,0,0,0,0,37,1,0,1,9,"Birtabit",0
1,0.202008432366002,0,0,0,0,0,20,1,0,1,2,"Bla Al Biyya",1
0,0.592909987627917,1,0,1,1,0,26,1,0,1,7,"Boba",1
0,0,0,0,0,1,1,35,1,0,1,3,"Boba",1
0,0.592909987627917,1,0,1,1,0,65,1,1,1,7,"Boba",1
0,0,0,0,0,1,0,54,1,0,1,10,"Boranga",0
1,0,0,0,0,1,1,19,1,0,1,5,"Borat",1
1,0.794918419993918,1,0,1,0,1,33,1,1,0,4,"Borgio",0
1,0.495177711644244,1,0,0,0,1,90,1,0,0,6,"Boymawang",0
0,0,0,0,0,1,0,23,1,0,1,4,"Brega",0
0,0,0,0,0,1,1,40,1,0,1,6,"Brega",1
0,0.797991567633998,1,1,1,1,0,25,0,0,1,6,"Brega",0
1,0.797991567633998,1,1,1,1,1,48,1,0,1,16,"Bukar",0
1,0.202008432366002,0,0,0,0,0,28,1,0,1,3,"Coda Mee",0
0,0,0,0,0,1,0,30,1,0,1,4,"Congi",1
0,0,0,0,0,1,1,30,1,0,1,6,"Dabaky",1
0,0,0,0,0,1,1,38,1,0,1,9,"Dabis",1
0,0,0,0,0,1,0,40,1,0,0,6,"Dagjor",1
1,0,0,0,0,1,0,36,1,0,1,4,"Dagjor",0
0,0.293169279278242,1,0,0,1,0,55,1,0,0,7,"Dalta",0
1,0.202008432366002,0,0,0,0,1,20,0,0,1,9,"Damra",1
1,0.202008432366002,0,0,0,0,1,29,0,0,1,18,"Damra",0
1,0.797991567633998,1,1,1,1,1,40,1,0,0,14,"Damra",0
0,0.202008432366002,0,0,0,0,1,36,1,1,1,10,"Damra",1
0,0,0,0,0,1,1,38,1,0,1,3,"Damra",0
0,1,1,1,1,0,0,45,1,0,0,8,"Dangojaro",1
1,0,0,0,0,1,1,43,1,0,0,13,"Danko",0
0,0,0,0,0,1,1,35,1,0,0,8,"Dardure",1
1,0.794918419993918,1,0,1,0,1,56,1,1,1,9,"Dargily",0
0,0,0,0,0,1,0,28,1,0,1,4,"Dasa",1
0,0,0,0,0,1,0,37,1,0,0,6,"Deegada",0
0,0,0,0,0,1,0,23,1,0,1,6,"Deero",0
1,0,0,0,0,1,1,25,1,0,1,15,"Dengar",0
0,0,0,0,0,1,0,29,1,0,1,6,"Derenda",0
0,0,0,0,0,1,0,26,1,0,1,17,"Derisa",1
1,0.700259291650325,1,1,0,0,1,45,1,0,1,9,"Dinbo Kabdi",1
0,0,0,0,0,1,1,37,1,0,0,13,"Dingajour",1
0,0.299740708349675,0,0,1,1,0,25,1,0,1,13,"Dinjir",1
0,0,0,0,0,1,0,37,1,0,1,10,"Dirdkna",0
1,0.794918419993918,1,0,1,0,1,67,1,1,1,16,"Dirgily",0
1,1,1,1,1,0,1,36,1,0,1,13,"Diria",0
0,0,0,0,0,1,1,45,1,1,1,18,"Dirisa",1
1,0.202008432366002,0,0,0,0,1,23,1,0,0,2,"Dirisa",0
1,0.202008432366002,0,0,0,0,0,33,1,1,1,6,"Diro",0
0,0.293169279278242,1,0,0,1,1,40,1,0,0,6,"Diro",1
1,0.501749140715677,0,0,1,0,0,41,1,0,0,6,"Dofata",0
1,0.794918419993918,1,0,1,0,1,36,1,0,1,5,"Dongita",0
0,0,0,0,0,1,0,35,1,1,1,7,"Doty",1
1,0.592909987627917,1,0,1,1,0,25,1,0,0,7,"Doudata",0
1,0.797991567633998,1,1,1,1,0,37,1,0,1,7,"Driol",0
0,0,0,0,0,1,0,35,1,0,0,5,"Dunjurou",1
0,1,1,1,1,0,0,75,1,0,1,12,"Eid Elkhair",0
0,0,0,0,0,1,0,27,1,0,1,3,"Eish Bida",1
1,1,1,1,1,0,1,53,0,0,0,5,"El Fasher",0
